ID,Warrior,Name_KOR,Name_ENG,Desc_ENG,Desc_KOR,IconIndex,Type,Prerequisites,
0,Sommer,비몽사몽 타격,Hazy Strike,Your melee attack becomes stronger and elicits Drowsiness. You create a cloud of Drowsiness-inflicting smoke where you hit a combo attack.,근거리 공격이 더 강해지며 졸음을 유발합니다.<br>강화 공격마다 자리에 졸음을 유발하는 가루를 생성합니다.,0,Melee,,
1,Sommer,잠으로의 초대,An Invitation to Slumber,Your ranged attack becomes stronger and elicits Drowsiness. You create a cloud of Drowsiness-inflicting smoke where the bullet hits.,원거리 공격이 더 강해지며 졸음을 유발합니다.<br>탄환이 사라진 자리에 졸음을 유발하는 가루를 생성합니다.,4,Ranged,,
2,Sommer,졸음 대쉬,Dash of Drowse,Your dash creates a cloud of Drowsiness-inflicting smoke behind you.,대쉬시 졸음을 유발하는 가루를 남깁니다.,8,Dash,,
3,Sommer,꿈 엘릭서,Elixir of Dreams,The effectiveness of health items by improving your quality of rest increases.,수면의 질을 높여 회복 아이템의 효율이 증가합니다.,48,Passive,,
4,Sommer,무기력한 자장가,Listless Lullaby,Increase the chances of rare item drops from enemies.,적이 희귀 아이템을 떨어트릴 확률이 증가합니다.,68,Passive,,
5,Sommer,깊은 수면으로의 초대,An Invitation to Deep Slumber,Decrease the defense of the enemies in Slumber.,수면 상태에 빠진 적의 방어력이 감소합니다.,124,Passive,"0,1,2",
6,Sommer,입면 환각,Hypnagogic Hallucination,Your attack against enemies without Drowsiness becomes stronger and enemies receive extra damage when its stack depletes to 0.,졸음 스택이 없는 적을 대상으로 한 공격이 강해집니다.<br>적이 졸음 스택이 0이 될 때 추가로 데미지를 줍니다.,70,Passive,"0,1,2",
7,Sommer,수면 강풍,Gust of Slumber,Your cloud of Drowsiness-inflicting smoke increases in area.,졸음 유발 가루의 범위가 커집니다.,151,Passive,"0,1,2",
8,Euphoria,헤롱헤롱 타격,Dazed Strike,Your melee attack is stronger and elicits Ecstacy.,근거리 공격이 더 강해지며 적에게 황홀경을 부여합니다.,1,Melee,,
9,Euphoria,황홀한 탄환,Rapturous Bullet,Your ranged attack does weak damage and pulls enemies towards you. Elicits Ecstacy by chance.,원거리 공격이 상대에게 약한 데미지를 주고 플레이어 방향으로 끌어옵니다. 확률적으로 황홀경을 유발합니다.,5,Ranged,,
10,Euphoria,화려한 대쉬,Glamorous Dash,"Dashing creates a vigor of seduction around the your body, inflicting damage to enemies that come in contact with the vigor, and elicit Ecstacy by chance.",대쉬 중 닿은 적에게 데미지를 주고 확률적으로 황홀경을 유발합니다.,11,Dash,,
11,Euphoria,뇌쇄술,Encephalotomy,You deal more damage when attacking enemies in Ecstacy.,황홀경에 빠진 적에게서 얻는 버프가 더 강력해집니다.,15,Passive,13,
12,Euphoria,사랑의 착취,Exploitation of Love,The chance for enemies to drop more gold increases.,적이 더 많은 돈을 떨어트릴 확률이 증가합니다.,139,Passive,,
13,Euphoria,유포리아식 위계질서,,Euphoria can get various buffs depanding on the type of the enemies in Ecstacy.,황홀경에 빠진 적의 종류에 따라 다양한 버프를 받습니다.,55,Passive,"8,9,10",
14,Euphoria,피의 갑주,Armour of Blood,"When your health goes down to x%, your defense rises depending on the number of monsters slain on that run.",체력이 x% 이하로 내려가면 이번 게임에 처치한 몹의 수에 비례해 방어력이 상승합니다.,20,Passive,"0,8",temp
15,Euphoria,자발적 투항,Voluntary Surrender,Euphoria's blessing raises monster defense negation stat.,유포리아의 가호로 방어 관통력이 상승합니다.,39,Passive,,
16,Turbela,협동 타격,Strike of Cooperation,Your melee attack becomes stronger and every combo attack summons a butterfly that assists you.,근거리 공격이 더 강해지며 강화 공격마다 자동으로 대신 공격해주는 나비를 소환합니다.,2,Melee,,
17,Turbela,선전포고 발포,Declaration of War,Your ranged attack has a probability that a butterfly will be summoned to assist you in battle.,원거리 공격이 더 강해지며 일정 확률로 자동으로 대신 공격해주는 나비를 소환합니다.,6,Ranged,,
18,Turbela,분열 대쉬,Dash of Division,Your dash has a probability that a butterfly will be summoned to assist you in battle.,대쉬를 할 때 마다 일정 확률로 자동으로 대신 공격해주는 나비를 소환합니다.,9,Dash,,
19,Turbela,군락지 소환,Colony Summon,The maximum number of butterflies summoned at once increases.,동시에 생성 되어질 수 있는 나비의 최대 마릿수가 증가합니다.,119,Passive,"16,17,18",
20,Turbela,집단 폭행,Swarm Assault,The maximum number of butterflies summoned at a time increases from 1 to 2.,가끔 두 마리의 나비가 한번에 소환됩니다.,162,Passive,"16,17,18",
21,Turbela,탄막 폭격,Winged Barrage,The summoned butterflies can now deal critical damage.,나비의 공격에도 치명타가 적용됩니다. ,25,Passive,"16,17,18",
22,Turbela,배틀 포메이션,Battle Formation,The butterflies deal more damage.,나비가 입히는 데미지가 더욱 강해집니다.,92,Passive,"16,17,18",
23,Turbela,흩어져라,Scatter,"Under the protection of Trubella, your dodge chance increases. If the maximum number of butterflies are summoned, your dodge chance increases.",투르벨라의 가호로 회피율이 상승합니다. 최대 마릿수 만큼의 나비가 생성되어 있을시 회피율이 더욱 상승합니다.,26,Passive,,
24,NightShade,매복 타격,Ambush Slash,"Your melee attack becomes stronger and charges your darkness gauge. By a chance, convert the enemy into a vessel of darkness.",근거리 공격이 더 강해지며 적에게 타격을 주면 암흑 게이지를 충전합니다. 확률적으로 적을 암흑의 숙주로 만듭니다.,3,Melee,,
25,NightShade,천개의 칼날,A Thousand Blades,"Your ranged attack becomes stronger and the enemy hit by the projectile becomes a vessel of darkness without fail. As it maintains its vessel status, it charges your darkness gauge.",원거리 공격이 더 강해지며 투사체에 맞은 적을 확정적으로 암흑의 숙주로 만들어 상태가 유지되는 동안 암흑 게이지를 충전합니다.,7,Ranged,,
26,NightShade,그림자 대쉬,Shadow Dash,"When you press the key to dash, it shoots your shadow, and when you press the key again, you teleport to it.","대쉬 키를 처음 누르면 전방으로 그림자를 발사하고, 키를 다시 누르면 그림자로 순간이동한다.",10,Dash,,
27,NightShade,완벽한 잠행,Perfect Execution,Your speed increases temporarily as you approach the enemy.,적에게 접근할 때 이동속도가 일시적으로 빨라집니다,71,Passive,,
28,NightShade,어둠의 파편,Shards of Darkness,Your bomb damage increases.,폭탄 데미지가 상승합니다. ,126,Passive,,
29,NightShade,한밤의 신기루,Midnight Mirage,Your darkness gauge charges faster.,암흑 게이지 충전 보너스를 줍니다.,142,Passive,"24,25",
30,NightShade,말살의 밤,Night of Annihilation,"When your darkness gauge is fully charged, your next attack will have Lifesteal attached. Lifesteal increases when attacking enemies that are vessels of darkness.",암흑 게이지가 완충 되었을 때 다음 공격에 흡혈이 추가됩니다. 암흑의 숙주를 상태로 흡혈이 증가합니다.,125,Passive,"24,25",
31,NightShade,암흑으로의 은폐,Noxious Barrier,"Under protection of Nightshade, your critical chance increases.",나이트셰이드의 가호로 치명타 확률이 증가합니다.,116,Passive,,
